""
1,<generator object diff.<locals>._diff_recursive at 0x000001D38C816180>,100110293765,100110293765,0
2,<generator object diff.<locals>._diff_recursive at 0x000001D38C816F80>,8033076447,8033076447,0
3,<generator object diff.<locals>._diff_recursive at 0x000001D38C817680>,100270293711,100270293711,0
4,<generator object diff.<locals>._diff_recursive at 0x000001D38C816340>,100250293732,4012074741,0
5,<generator object diff.<locals>._diff_recursive at 0x000001D38C815A80>,10040293707,10040293707,0
6,<generator object diff.<locals>._diff_recursive at 0x000001D38C817A00>,100310293872,102074197,0
7,<generator object diff.<locals>._diff_recursive at 0x000001D38C815380>,100280293833,4012074741,0
8,<generator object diff.<locals>._diff_recursive at 0x000001D38C817140>,600074309,501074960,0
9,<generator object diff.<locals>._diff_recursive at 0x000001D38C816880>,7031075472,3014074841,0
0,<generator object diff.<locals>._diff_recursive at 0x000001D38C817BC0>,7014075458,4022074737,0
1,<generator object diff.<locals>._diff_recursive at 0x000001D38C815700>,10030293711,2022074566,0
2,<generator object diff.<locals>._diff_recursive at 0x000001D38C815C40>,100130293674,300074811,0
3,<generator object diff.<locals>._diff_recursive at 0x000001D38C816A40>,10020293769,7015075431,0
4,<generator object diff.<locals>._diff_recursive at 0x000001D38C817840>,1022074230,1022074230,0
5,<generator object diff.<locals>._diff_recursive at 0x000001D38C817300>,100240293743,2016074625,0
6,<generator object diff.<locals>._diff_recursive at 0x000001D38C816DC0>,100190293717,1021074233,0
7,<generator object diff.<locals>._diff_recursive at 0x000001D38C815E00>,5011075010,501074960,0
8,<generator object diff.<locals>._diff_recursive at 0x000001D38C8166C0>,102074197,102074197,0
9,<generator object diff.<locals>._diff_recursive at 0x000001D38C816500>,10070293797,4012074741,0
0,<generator object diff.<locals>._diff_recursive at 0x000001D38C8174C0>,10090293769,2022074566,0
1,<generator object diff.<locals>._diff_recursive at 0x000001D38C815FC0>,8020076454,300074811,0
2,<generator object diff.<locals>._diff_recursive at 0x000001D38C816C00>,7015075431,7015075431,0
3,<generator object diff.<locals>._diff_recursive at 0x000001D38C816880>,100180293655,1022074230,0
4,<generator object diff.<locals>._diff_recursive at 0x000001D38C815540>,2016074625,2016074625,0
5,<generator object diff.<locals>._diff_recursive at 0x000001D38C817140>,100140293687,1021074233,0
6,<generator object diff.<locals>._diff_recursive at 0x000001D38C817A00>,100290293786,501074960,0
7,<generator object diff.<locals>._diff_recursive at 0x000001D38C815380>,6013074307,102074197,0
8,<generator object diff.<locals>._diff_recursive at 0x000001D38C816340>,100240293750,4012074741,0
9,<generator object diff.<locals>._diff_recursive at 0x000001D38C817680>,100310293880,501074960,0
0,<generator object diff.<locals>._diff_recursive at 0x000001D38C816500>,100280293841,3014074841,0
1,<generator object diff.<locals>._diff_recursive at 0x000001D38C8166C0>,100180293657,4022074737,0
2,<generator object diff.<locals>._diff_recursive at 0x000001D38C815E00>,100210293614,2022074566,0
3,<generator object diff.<locals>._diff_recursive at 0x000001D38C816DC0>,3019074813,300074811,0
4,<generator object diff.<locals>._diff_recursive at 0x000001D38C817840>,110260702692,110260702692,0
5,<generator object diff.<locals>._diff_recursive at 0x000001D38C817300>,1023074257,1021074233,0
6,<generator object diff.<locals>._diff_recursive at 0x000001D38C817680>,7026075427,501074960,0
7,<generator object diff.<locals>._diff_recursive at 0x000001D38C816A40>,100130293700,102074197,0
8,<generator object diff.<locals>._diff_recursive at 0x000001D38C815380>,6030074268,4012074741,0
9,<generator object diff.<locals>._diff_recursive at 0x000001D38C817A00>,506074956,506074956,0
0,<generator object diff.<locals>._diff_recursive at 0x000001D38C816340>,9030117930,601074303,0
1,<generator object diff.<locals>._diff_recursive at 0x000001D38C817140>,100190293743,1026074224,0
2,<generator object diff.<locals>._diff_recursive at 0x000001D38C815540>,100220293710,100100293625,0
3,<generator object diff.<locals>._diff_recursive at 0x000001D38C816C00>,100170293835,504074997,0
4,<generator object diff.<locals>._diff_recursive at 0x000001D38C815380>,100200293766,2021074616,0
5,<generator object diff.<locals>._diff_recursive at 0x000001D38C816A40>,7019075459,3032074834,0
6,<generator object diff.<locals>._diff_recursive at 0x000001D38C817A00>,109074204,109074204,0
7,<generator object diff.<locals>._diff_recursive at 0x000001D38C817680>,10030293738,10000293687,0
8,<generator object diff.<locals>._diff_recursive at 0x000001D38C817840>,100130293701,4012074741,0
9,<generator object diff.<locals>._diff_recursive at 0x000001D38C816DC0>,800076487,102074197,0
0,<generator object diff.<locals>._diff_recursive at 0x000001D38C815E00>,100240293771,4012074741,0
1,<generator object diff.<locals>._diff_recursive at 0x000001D38C8166C0>,2010074598,506074956,0
2,<generator object diff.<locals>._diff_recursive at 0x000001D38C817300>,3015074814,601074303,0
3,<generator object diff.<locals>._diff_recursive at 0x000001D38C816500>,2031074595,1026074224,0
4,<generator object diff.<locals>._diff_recursive at 0x000001D38C816880>,100260293845,100100293625,0
5,<generator object diff.<locals>._diff_recursive at 0x000001D38C816DC0>,504074997,504074997,0
6,<generator object diff.<locals>._diff_recursive at 0x000001D38C817680>,2021074616,2021074616,0
7,<generator object diff.<locals>._diff_recursive at 0x000001D38C817A00>,100130293703,3032074834,0
8,<generator object diff.<locals>._diff_recursive at 0x000001D38C817840>,100270293743,109074204,0
9,<generator object diff.<locals>._diff_recursive at 0x000001D38C816A40>,10000293687,10000293687,0
0,<generator object diff.<locals>._diff_recursive at 0x000001D38C816C00>,10080293746,4012074741,0
1,<generator object diff.<locals>._diff_recursive at 0x000001D38C815540>,100280293864,102074197,0
2,<generator object diff.<locals>._diff_recursive at 0x000001D38C817140>,4029074715,4012074741,0
3,<generator object diff.<locals>._diff_recursive at 0x000001D38C816340>,100320293773,506074956,0
4,<generator object diff.<locals>._diff_recursive at 0x000001D38C815380>,601074303,601074303,0
5,<generator object diff.<locals>._diff_recursive at 0x000001D38C8174C0>,1026074224,1026074224,0
6,<generator object diff.<locals>._diff_recursive at 0x000001D38C815FC0>,100100293625,100100293625,0
7,<generator object diff.<locals>._diff_recursive at 0x000001D38C815700>,8014076450,504074997,0
8,<generator object diff.<locals>._diff_recursive at 0x000001D38C817BC0>,10060293755,2021074616,0
9,<generator object diff.<locals>._diff_recursive at 0x000001D38C815A80>,3032074834,3032074834,0
0,<generator object diff.<locals>._diff_recursive at 0x000001D38C816A40>,100230293708,109074204,0
1,<generator object diff.<locals>._diff_recursive at 0x000001D38C817840>,100220293715,10000293687,0
2,<generator object diff.<locals>._diff_recursive at 0x000001D38C817680>,4012074741,4012074741,0
3,<generator object diff.<locals>._diff_recursive at 0x000001D38C816DC0>,11030702656,11030702656,0
4,<generator object diff.<locals>._diff_recursive at 0x000001D38C817A00>,8022076477,8022076477,0
5,<generator object diff.<locals>._diff_recursive at 0x000001D38C816500>,11060702663,11060702663,0
6,<generator object diff.<locals>._diff_recursive at 0x000001D38C816880>,110270702594,110270702594,0
7,<generator object diff.<locals>._diff_recursive at 0x000001D38C817300>,100320293776,100320293776,0
8,<generator object diff.<locals>._diff_recursive at 0x000001D38C8166C0>,110270702611,110270702611,0
9,<generator object diff.<locals>._diff_recursive at 0x000001D38C815E00>,110190702574,110190702574,0
